,id,text,date,user,retweets,sentiment,tweet_id,relevant
2,97,#Trading opportunities based on #TechnicalScans $AAPL $ADBE $CMI $CRWD $BDX $DLTR $FANG $HOLX $SRPT $CONE $DELL $DGAX... https://t.co/XAAwzpxrWX #doji #oversold #breakouts #200dma #50dma,2019-11-26 16:33:00.000000,Briefing.com,0,0.0,1199380546222059520,0
5,100,RT @davidmoadel: Has the #Fed Guaranteed Hyperinflation? https://t.co/NsrPC7qPSA from @RoryTDC $SPY $QQQ $DJIA $DIA $GLD $SLV #stockmarket…,2019-11-26 16:31:36.000000,TheDailyCoin.org,1,0.0,1199380196853452800,0
7,102,RT @DanZanger: $AAPL - Reduced https://t.co/Nc0fDMubwC,2019-11-26 16:30:57.000000,oconnor wilson Stocks Trader,5,0.0,1199380030322860033,0
8,103,RT @DanZanger: $AAPL Trending higher https://t.co/RjvfafrXGL,2019-11-26 16:30:35.000000,oconnor wilson Stocks Trader,3,0.25,1199379939205758976,0
12,107,"$TSLA - Bulls are cancelling orders and then accusing Bears of cancelling orders to prove fakery. This is such a sad person right here.  Such Elon delusion.  

Was it the bears who broke the Cybertruck’s unbreakable glass on stage? https://t.co/GHYVkCGaeq",2019-11-26 16:33:46.000000,Blue Collar Trade,0,-0.053571428571428575,1199380741920108545,0
14,109,"RT @realmoney: Tesla's $TSLA charts have formed a bear flag, a pattern that projects further downside in its stock. @edponsi breaks down wh…",2019-11-26 16:33:07.000000,"Trade Alerts, Trade Ideas and Crypto 📈",3,-0.07777777777777779,1199380576739835904,0
16,111,I'm most excited about #tesla's battery investor day. The latest #cybertruck unveil gave us a 500+ mile truck at $70k. The current Model S is 370 miles at $80k. So i'm guessing they got a new battery under that truck.  $tsla,2019-11-26 16:32:29.000000,Kris Liu,0,0.30227272727272725,1199380416974581760,0
17,112,"$TSLA $TSLAQ $F

Elon, you gonna take shit from Neil DeGrasse Tyson?

@neiltyson @elonmusk https://t.co/1h4KU90DR9",2019-11-26 16:32:29.000000,passthebeano,0,-0.2,1199380415963754496,0
18,113,"RT @SpartanTrading: $SPY bullish consolidation here for the next leg higher still holding up well.

$AMZN Next leg coming.

Keeping an eye…",2019-11-26 17:43:59.000000,Joe Gambiste,1,0.08333333333333333,1199398412338302976,0
22,117,RT @tradertvneal: @ItsAirplaneJane Great look on that $AAPL call. It was an absolute pleasure having you on the program today. Best of luck…,2019-11-26 17:43:58.000000,Joe Gambiste,1,0.6666666666666666,1199398408303390720,0
23,118,"RT @treabase: $AAPL #patent 10,488,992 Multi-chip touch architecture for scalability #tech #IP #research https://t.co/YjLrn71rFs https://t.…",2019-11-26 17:43:58.000000,Joe Gambiste,1,0.0,1199398407334498316,0
25,120,RT @DanZanger: $AAPL - Reduce before earnings https://t.co/dAg5BYXwF8,2019-11-26 17:43:57.000000,Joe Gambiste,12,0.0,1199398403958038529,0
26,121,RT @DanZanger: $AAPL Closed out with the market plunging https://t.co/QsUQZsqysL,2019-11-26 17:43:57.000000,Joe Gambiste,5,-0.1,1199398402997530629,0
27,122,RT @DanZanger: $AAPL - Earnings continue to decelerate https://t.co/6G1eCL0nSU,2019-11-26 17:43:57.000000,Joe Gambiste,6,0.0,1199398401961529345,0
28,123,RT @DanZanger: $AAPL closed out  a few weeks ago and waiting for the next signal. https://t.co/nsRzmxyiYc,2019-11-26 17:43:57.000000,Joe Gambiste,6,-0.10000000000000002,1199398401030459393,0
29,124,RT @DanZanger: $AAPL - Closed out but still good for the active trader https://t.co/0C9fjkRlOT,2019-11-26 17:43:56.000000,Joe Gambiste,7,0.15555555555555556,1199398400078286849,0
31,126,RT @DanZanger: $AAPL - Working higher from my buy area and let's reduce before earnings. https://t.co/a1066TqcPV,2019-11-26 17:43:56.000000,Joe Gambiste,11,0.25,1199398397960237057,0
32,127,RT @DanZanger: $AAPL Super gains and a solid earnings report https://t.co/y5vluGWveo,2019-11-26 17:43:56.000000,Joe Gambiste,4,0.16666666666666666,1199398396961939458,0
33,128,RT @DanZanger: $AAPL - Leading the entire market higher https://t.co/yL8bllNLr4,2019-11-26 17:43:55.000000,Joe Gambiste,9,0.125,1199398395900833793,0
34,129,RT @DanZanger: $AAPL - Leading the market. https://t.co/XF9QpuplDM,2019-11-26 17:43:55.000000,Joe Gambiste,6,0.0,1199398394957123584,0
35,130,RT @DanZanger: $AAPL still leading the market higher from my prior posts with chip stocks on the move.,2019-11-26 17:43:55.000000,Joe Gambiste,5,0.125,1199398393916866560,0
37,132,RT @DanZanger: $AAPL - A super move for over $31 in the last few weeks and leading the chip stocks.,2019-11-26 17:43:55.000000,Joe Gambiste,6,0.04444444444444443,1199398392004259841,0
39,134,RT @DanZanger: $AAPL just keeps ripping higher from my $230 buy area,2019-11-26 17:43:53.000000,Joe Gambiste,4,0.25,1199398385847078912,0
40,135,RT @DanZanger: $AAPL and chips stocks continue to lead at highs.,2019-11-26 17:43:53.000000,Joe Gambiste,4,0.0,1199398384882405382,0
42,137,RT @DanZanger: $AAPL - Reduced https://t.co/Nc0fDMubwC,2019-11-26 17:43:52.000000,Joe Gambiste,6,0.0,1199398380285374464,0
43,138,RT @DanZanger: $AAPL Trending higher https://t.co/RjvfafrXGL,2019-11-26 17:43:51.000000,Joe Gambiste,4,0.25,1199398379047899136,0
46,141,RT @Sandro_power: $AAPL some great gains from buying into support on nov 22 on friday that I explained to my group to increase their positi…,2019-11-26 17:43:51.000000,Joe Gambiste,34,0.8,1199398376070103045,0
48,143,RT @goat_trader_go: $AAPL moving 1 cent today. Says the whole story.  Once HK bill is signed - white house will shit in its pants,2019-11-26 17:43:50.000000,Joe Gambiste,1,0.0,1199398373868085248,0
54,149,Insider Buy Superstocks by Jesse C. Stine: https://t.co/MMEXMVasjV $TSLA $FB $LNKD $AAPL $AMZN $MSFT,2019-11-26 17:33:56.000000,Investing Books,0,0.0,1199395881868546051,0
59,155,RT @RedDogT3: $aapl took last week off to digest massive gains.  It cleared $264 to get me back long to see if it stays special for the wee…,2019-11-26 17:30:31.000000,Kujo,4,0.06142857142857142,1199395022963167233,0
63,159,"NEW: The Greatest Stock Trading Tool Nobody Uses

Today I will talk about this tool and how to use it. For many of you, this tool is free

https://t.co/cdDggXrcQb

$AAPL $FB $TWTR $PAYC $SHOP $NVDA https://t.co/VlwcQgusGw",2019-11-26 17:24:38.000000,Doug Rumer,0,0.509090909090909,1199393543019614208,0
74,170,"$HENC OVERSOLD ONLY 150MILLION A/S! 1000% POTENTIAL
$RDUS $UTHR $PTLA $ALDR $OPK $GLPG $ARWR $ONCS $MTEM $SGYP $NEPT $ASMB $JNJ $MRK $AAPL $GOOG $INTC $CLDX $MSFT $CMCSA $PFE $MU $NFLX $NOK $XO $DIS $NVDA $BAC $AMD $WMT $CHK $AKS $VZ $CTL $FCX $T $JPM $WFT  $NVCN $BIDU $HPQ $P $F https://t.co/aVe1nJpHKJ",2019-11-26 17:13:15.000000,Obi,0,0.0,1199390677802659842,0
75,171,"$AAPL
Has been in a channel for 2  Months. 
Below is 2 Month 4HR chart. Ride the momo as long as in Channel I see targets to 271, 276 to upper Channel Line.
Stops can be on lower channel or lose stops at 260 if holding.
Also Good to study about Channel $STUDY #tradingtips https://t.co/1VcSN0UXIa",2019-11-26 17:12:02.000000,Ripster47,0,0.21666666666666665,1199390370196377601,0
76,172,$msft $aapl $amzn at intraday resistance https://t.co/LVlegjc9do,2019-11-26 17:11:44.000000,Corey Surles,0,0.0,1199390294547914752,0
77,173,RT @realwillmeade: The Apple $AAPL iPhone 7 and iPhone 8 emits more than 8 times the radiation of the Samsung Galaxy. Yet no one talks abou…,2019-11-26 17:11:01.000000,Andre Sanford-Adams,21,0.5,1199390114260144128,0
81,177,"Robinhood asked me to give y'all an opportunity at a free stock for #Thanksgiving. Just join/sign up using my link &amp; claim it. You may need it if you do the #blackfriday stuff.

$AAPL $BBY $DKS $SHOP $BURL $ROKU $FIT $DIS $PINS $UBER $BABA $MSFT 
https://t.co/JiKpiTunQz",2019-11-26 17:06:29.000000,𝕄𝕣. ℤ𝕠,0,0.4,1199388973568872461,0
82,178,RT @UPBOptionMil: Some of the days most active stock options so far 11.26.19  $DIS $MOS $ROKU $HD $AAPL $DHR $MDCO https://t.co/kGtotSEjX9,2019-11-26 17:03:09.000000,G.A.R Capital,1,0.15555555555555556,1199388132657029122,0
83,179,"$SPY bullish consolidation here for the next leg higher still holding up well.

$AMZN Next leg coming.

Keeping an eye on $AMZN and $AAPL as well..",2019-11-26 17:02:57.000000,Spartan,1,0.08333333333333333,1199388082857865217,0
85,181,Some of the days most active stock options so far 11.26.19  $DIS $MOS $ROKU $HD $AAPL $DHR $MDCO https://t.co/kGtotSEjX9,2019-11-26 17:01:22.000000,UPBOptionMil,1,0.15555555555555556,1199387684558557189,0
86,343,huge spot $AAPL $IWM lessee,2019-11-26 18:48:03.000000,autumn,0,0.4000000000000001,1199414533552508928,0
87,182,"$AAPL: “Apple acquires visual effects startup iKinema.”

Keep tabs on the latest news headlines that are driving moves in the stock market.

Watch full episodes of our animated video series, Market Trends:
https://t.co/SgdcnajYpq https://t.co/42EvFInzJH",2019-11-26 17:01:13.000000,Explainably,1,0.2833333333333333,1199387646209994752,0
91,186,@ItsAirplaneJane Great look on that $AAPL call. It was an absolute pleasure having you on the program today. Best of luck in the markets!,2019-11-26 16:57:44.000000,Neal Roberts,1,0.6666666666666666,1199386772972691456,0
92,187,"$AAPL #patent 10,488,992 Multi-chip touch architecture for scalability #tech #IP #research https://t.co/YjLrn71rFs https://t.co/JVU6IEWqMt",2019-11-26 16:55:12.000000,TREA,1,0.0,1199386133660143616,0
105,200,RT @DanZanger: $AAPL - Reduce before earnings https://t.co/dAg5BYXwF8,2019-11-26 16:43:09.000000,oconnor wilson Stocks Trader,12,0.0,1199383100473647104,0
106,201,"Best Managed Companies Of 2019

1. Amazon $AMZN
2. Microsoft $MSFT
3. Apple $AAPL
4. Google $GOOGL
5. Cisco $CSCO
6. Facebook $FB
7. IBM $IBM
8. Johnson &amp; Johnson $JNJ
9. Intel $INTC
10. 3M $MMM

https://t.co/RDLD6ppIYy",2019-11-26 16:42:57.000000,Felipe Potes,0,1.0,1199383052746739713,0
107,202,RT @DanZanger: $AAPL Closed out with the market plunging https://t.co/QsUQZsqysL,2019-11-26 16:42:45.000000,oconnor wilson Stocks Trader,5,-0.1,1199382998921236480,0
108,203,RT @DanZanger: $AAPL - Earnings continue to decelerate https://t.co/6G1eCL0nSU,2019-11-26 16:42:26.000000,oconnor wilson Stocks Trader,6,0.0,1199382919007133698,0
109,204,RT @DanZanger: $AAPL closed out  a few weeks ago and waiting for the next signal. https://t.co/nsRzmxyiYc,2019-11-26 16:42:00.000000,oconnor wilson Stocks Trader,6,-0.10000000000000002,1199382811058290695,0
110,205,RT @DanZanger: $AAPL - Closed out but still good for the active trader https://t.co/0C9fjkRlOT,2019-11-26 16:41:07.000000,oconnor wilson Stocks Trader,7,0.15555555555555556,1199382588328153089,0
115,210,"Apple Watch Series 5 hits new all-time low, Pixelmator goes free, and Anker's Black Friday sale is live https://t.co/rBxTtfN3rr $AAPL https://t.co/v90JLPGa0L",2019-11-26 16:38:33.000000,MacHash,0,0.10121212121212124,1199381942518439936,0
117,212,RT @DanZanger: $AAPL - Working higher from my buy area and let's reduce before earnings. https://t.co/a1066TqcPV,2019-11-26 16:38:16.000000,oconnor wilson Stocks Trader,11,0.25,1199381874201767937,0
118,213,RT @DanZanger: $AAPL Super gains and a solid earnings report https://t.co/y5vluGWveo,2019-11-26 16:37:59.000000,oconnor wilson Stocks Trader,4,0.16666666666666666,1199381799799005190,0
121,216,I am NEVER buying $tsla calls again. This company is just not stable.,2019-11-26 17:46:28.000000,Darren Goodwin,0,0.0,1199399034697474049,0
122,217,$TSLA coming down now. Next target gap fill below.,2019-11-26 17:46:19.000000,Venky Srinivasan,0,-0.07777777777777779,1199398997816991744,0
124,219,$TSLA giving up the $330 area 😦,2019-11-26 17:46:14.000000,Stocksking82,0,0.0,1199398978455928832,0
126,221,RT @AlterViggo: Tesla CyberTruck orders update. Order rate appears to continue unabated. $TSLA #Cybertruck https://t.co/rE5UZid9qG,2019-11-26 17:45:30.000000,Tommy Palmer,49,0.0,1199398794271608833,0
137,232,"$TSLA $TSLAQ 
Tesla's Biggest Bear: US, China Auto Sales Are In Free-Fall; Musk Lied To Einhorn | Zero Hedge https://t.co/DaJtnul7Wi",2019-11-26 17:43:00.000000,yngy6477,1,0.0,1199398162651402246,0
138,233,RT @BradMunchen: I tweeted this 15 hours ago and not one “like”. I don’t tweet for likes. But considering the #’s of followers I have who b…,2019-11-26 17:42:21.000000,Realist,7,0.0,1199397999195099136,0
139,234,$TSLA short bias  with option strategy up 800$  today,2019-11-26 17:42:16.000000,François Bégin,0,0.0,1199397979318366208,0
141,236,$TSLA broke the 8/21 daily EMA  now is the time to short a piece,2019-11-26 17:41:17.000000,François Bégin,0,0.0,1199397731938242560,0
149,244,"$TSLA @ElonMusk being schooled in high school physics by Neil deGrasse Tyson. https://t.co/rwohfZlgCi

Every field Elon pretends to be good at, he gets schooled publicly. Physics is supposed to be his major for crying out loud!

Yet to see a field where he can pass for a genius.",2019-11-26 17:40:00.000000,EnerTuition,0,0.14125,1199397407781351424,0
152,247,"RT @SamuelCChristo: An enthusiastic young VP of a @Ford subsidiary challenges @elonmusk to an F150 vs #Cybertruck face off. Elon accepts, F…",2019-11-26 17:39:04.000000,Dennis Taylor,124,0.35,1199397175060549635,0
154,249,"RT @TeslaOpinion: It's been 100 years since the world has seen anybody like Musk. 

His personality is consistent with what it ALWAYS takes…",2019-11-26 17:38:41.000000,Kosei Yokoyama,31,0.25,1199397078805278722,0
155,250,"RT @NorbertElekes: Biggest car companies by market cap

🇯🇵Toyota: $232 billion
🇩🇪VW:        $98 billion
🇩🇪Daimler: $62 billion
🇺🇸Tesla:…",2019-11-26 17:38:24.000000,Saško Loginov,347,0.0,1199397007544246272,0
156,251,RT @zomgapocalypse: Almost 90% of TMC respondents to this poll (in the #Cybertruck forum) say they've cancelled their Model Y pre-order to…,2019-11-26 17:38:22.000000,Kawasaki_KR-1,3,0.0,1199396997914144768,0
160,255,"RT @SamuelCChristo: An enthusiastic young VP of a @Ford subsidiary challenges @elonmusk to an F150 vs #Cybertruck face off. Elon accepts, F…",2019-11-26 17:36:43.000000,Tristan,124,0.35,1199396580677312512,0
162,257,"RT @SamuelCChristo: An enthusiastic young VP of a @Ford subsidiary challenges @elonmusk to an F150 vs #Cybertruck face off. Elon accepts, F…",2019-11-26 17:35:59.000000,Haunted by Steve Job's Ghost,124,0.35,1199396398556336128,0
166,261,"RT @Polixenes13: @laque_tess Nice. But minor error. The ATV is already in production, and selling well. You can buy one today. It has the Y…",2019-11-26 17:35:36.000000,Elon’s Hair Plugs- Secured,1,0.275,1199396299122065408,0
173,268,"Hero $TSLAQ “columnist”  @lopezlinette doesn’t know or pretends not to know that Unsworth is NOT a diver. Sad.

Unsworth was also caught saying that he will make the real hero divers “suffer” 😡

Linette, get that $TSLA stock price down for Chanos, yo https://t.co/idual4whsV",2019-11-26 17:32:45.000000,Operation Paperclip 🖇️,3,-0.15185185185185188,1199395584890638336,0
175,270,@Alex_Kump @JoshuaKessler1 @Tesla Closed $tsla Put for another +210% gain. How did you do today?,2019-11-26 17:31:52.000000,CT963,0,-0.1,1199395362953412613,0
178,273,RT @Keubiko: Fun fact:  This is what the $TSLA filings screen looks like on Bloomberg.   The German banks (known for their risk management…,2019-11-26 17:31:10.000000,Capital Markets,2,0.15,1199395186104774658,0
183,278,this is what’s called tipping point adoption 🔥😂⚡️🚀 $TSLA https://t.co/UgbrZ3Xjox,2019-11-26 17:30:27.000000,~C4Chaos,0,0.0,1199395004436713472,0
186,281,"RT @NorbertElekes: Tesla Cybertruck

6 seats
Autopilot
6.5-ft bed
ATV option
air suspension
16"" ride height
17"" touchscreen
bulletproof bod…",2019-11-26 17:30:10.000000,⚔️ÑušT⚔️,100,0.0,1199394935004250112,0
191,286,Tesla deliveries in NL are expected to start again tomorrow after couple of days of delivery stop. Sources on Dutch Tesla forum say that deliveries could reach +1000 model 3's a day in the next four weeks. $TSLA,2019-11-26 17:29:34.000000,Urarthur,0,-0.05,1199394784496013312,0
192,287,"RT @NorbertElekes: Tesla Cybertruck

6 seats
Autopilot
6.5-ft bed
ATV option
air suspension
16"" ride height
17"" touchscreen
bulletproof bod…",2019-11-26 17:29:15.000000,Sifiso Msezane,100,0.0,1199394704158273542,0
198,293,"Is @Tesla's octogenarian cheerleader Bonnie Norman coaching an unhappy $TSLA consumer to commit insurance fraud on Twitter
@AGBecerra, @TheJusticeDept? 

Having auto insurance ""cover"" a product that did not exist on the car is fraud. 
Tesla is 100% responsible for refunding. https://t.co/A3y0kNRknC",2019-11-26 17:27:36.000000,KillingMyCareer,1,-0.2,1199394285772136448,0
199,294,"RT @NorbertElekes: Biggest car companies by market cap

🇯🇵Toyota: $232 billion
🇩🇪VW:        $98 billion
🇩🇪Daimler: $62 billion
🇺🇸Tesla:…",2019-11-26 17:27:26.000000,Sifiso Msezane,347,0.0,1199394245133709313,0
200,295,"RT @TeslaOpinion: It's been 100 years since the world has seen anybody like Musk. 

His personality is consistent with what it ALWAYS takes…",2019-11-26 17:27:21.000000,Joe Gambiste,31,0.25,1199394226385014784,0
205,300,"RT @SamuelCChristo: An enthusiastic young VP of a @Ford subsidiary challenges @elonmusk to an F150 vs #Cybertruck face off. Elon accepts, F…",2019-11-26 17:25:56.000000,Sunil,124,0.35,1199393866547388416,0
208,303,"RT @TeslaOpinion: It's been 100 years since the world has seen anybody like Musk. 

His personality is consistent with what it ALWAYS takes…",2019-11-26 17:25:05.000000,wisconsin tesla guy,31,0.25,1199393656098238465,0
212,307,Stock Investing For Dummies: https://t.co/UQBf7vRPDF #stocks #investing #fordummies $SPY $AAPL,2019-11-26 19:33:56.000000,Investing Books,0,0.0,1199426082501484544,0
213,308,"$MNI Mcclatchy is a high tech company should move to #NASDAQ like $AAPL $NFLX $MNI McClatchy’s directors each buys $10,000 worth of shares and stock over $10 so illiquid current pps #FakeNews $FB $AMZN $ETSY $DIS  $TSLA $NWS $FOX $GCI $TPCO $T $VZ $BABA https://t.co/5rGN1zMTX6",2019-11-26 19:30:36.000000,Investidea,0,0.15333333333333332,1199425240830488576,0
217,311,$spy $gspc $aapl $nflx $goog $tsla Warren falls to 3rd in new Democratic 2020 poll  https://t.co/LlO7hGUhKD,2019-11-26 19:29:41.000000,FaisamTrader,0,0.06818181818181818,1199425011913756672,0
219,313,They going to start buying $AAPL for the close to get everything moving?,2019-11-26 19:24:26.000000,SPX Degenerate,0,0.0,1199423690695274496,0
220,314,$spy be sure to buy this at 350 for the 75 cent rip into the close. AND of course buy as much $aapl as possible for its 1$ parabolic move at 358pm,2019-11-26 19:24:19.000000,HingleMcCringleberry,0,0.2333333333333333,1199423658676150280,0
222,316,RT @SethCL: $SPX $TGT $HD $LOW $MCD $SBUX $AAPL $XRT $XLP We may be seeing the lows with regards to the $XLY underperformance against the S…,2019-11-26 19:23:46.000000,James Dickson,1,0.0,1199423522231205889,0
224,318,"RT @Sandro_power: $AAPL $TSLA a great video to $STUDY are you prepared for long term success, if your serious for success this video does s…",2019-11-26 19:23:19.000000,Luke M,37,0.20333333333333334,1199423407407931392,0
226,320,"$AAPL - more downside risk, I think at this point than upside. Not saying that the rally is over, but I think that a quick pullback to the rising trend-line is in order. https://t.co/XqsNQ2CHMo",2019-11-26 19:22:30.000000,Ryan Mallory,0,0.4166666666666666,1199423201371181057,0
228,322,Apple Option Alert: Dec 13 $267.5 Puts Sweep (52) near the Bid: 1165 @ $4.551 vs 244 OI; Ref=$266.4599 $AAPL https://t.co/yZhLn9ITia @benzinga,2019-11-26 19:18:47.000000,Andy McCaslin,0,0.1,1199422268876709890,0
230,324,@Sandro_power $AAPL a winner..great plan.,2019-11-26 19:17:50.000000,ClearTarget,0,0.0,1199422027268067329,0
241,335,"@tailsct @StefanMolyneux No.

China owns less than 5% of the Treasury market.  The same percentage of $AAPL that Berkshire Hathaway owns

They could dump them tomorrow &amp; bond yields wouldn't budge.

Someone else would buy em.

And even if they did, the US could freeze their accounts so they couldn't sell",2019-11-26 18:57:17.000000,TheTurbatron,0,-0.08333333333333333,1199416856756588546,0
244,338,Try our swing trading service built for individuals who want to trade longer-term timeframes around their full-time careers. Find out more here: https://t.co/lI7fsPeAkL $TSLA $AAPL $WFC $SQ,2019-11-26 18:55:10.000000,OptionAlarm,0,0.5,1199416324037992449,0
247,341,RT @OptionsPastor: Unusual bullish flow for this week expiration: $AMD $AAPL $DIS $HD $QCOM $M $T $ROKU $FB $BABA $MSFT $NVDA $TSLA,2019-11-26 18:51:14.000000,CHRISTOPHER PITTMAN,2,0.2,1199415332940767241,0
248,342,Unusual bullish flow for this week expiration: $AMD $AAPL $DIS $HD $QCOM $M $T $ROKU $FB $BABA $MSFT $NVDA $TSLA,2019-11-26 18:50:49.000000,Stocks Pastor,0,0.2,1199415231665061890,0
249,344,"@herc628 I front sell a small portion of my $AAPL position (not as of late due to the exceptional bull run its enjoying. However, I also have a low cost hedges protecting the entire portfolio against significant increases in IV over the next 3 months.",2019-11-26 18:47:51.000000,Yodo is his name o,0,0.09629629629629627,1199414482050699265,0
250,345,$SPLG Massive 1.6 mil print $36.91 Top holdings  $MSFT $AAPL $AMZN $FB $GOOGL $JNJ $XOM $BAC $V Bullish above $37 Bearish below 36.80,2019-11-26 18:47:27.000000,Stefanie Kammerman/The Stock Whisperer,0,0.16666666666666666,1199414381135695872,0
251,346,"$AAPL 
Apple 
 Target Raised by Cascend Securities $266.36 $280.00 ➝ $290.00 Buy",2019-11-26 18:44:57.000000,cybercash28,0,0.0,1199413753676288008,0
253,348,"$NIO Confirmed that 2.00 is no longer resistance, and is now support
Get your own charts at https://t.co/OC4mHSuB5p  7 days FREE trial, 25% off any Monthly plan for a year or 40% off any Yearly plan
$SPY $QQQ $DJIA $DIA #stockmarket #investing #finance #stocks $FB $AAPL $AMZN https://t.co/fnUhI4iLfP",2019-11-26 18:41:20.000000,David Moadel,1,0.4666666666666666,1199412841356378113,0
255,350,"Hard to deny that $SPX is technically overbought
Get your own charts at https://t.co/OC4mHSuB5p  7 days FREE trial, 25% off any Monthly plan for a year or 40% off any Yearly plan
$SPY $QQQ $DJIA $DIA #stockmarket #investing #finance #stocks $FB $AAPL $AMZN https://t.co/0LxyBatjFb",2019-11-26 18:39:02.000000,David Moadel,0,0.17708333333333331,1199412265189068800,0
256,351,$AAPL is down 10 cts... are we BULLISH ENOUGH?,2019-11-26 18:36:24.000000,thomas,0,-0.07777777777777779,1199411599775154176,0
258,353,Watch the $IWM &amp; $AAPL for tonality signs into this volumeless trading day,2019-11-26 18:32:27.000000,"Steve,     Wise Owl",0,0.0,1199410608850001923,0
261,356,RT @OptionsPastor: Unusual bullish flow for this week expiration: $AMD $AAPL $DIS $HD $QCOM $M $T $ROKU $FB $BABA $MSFT $NVDA $TSLA,2019-11-26 18:28:08.000000,Options Pastor,2,0.2,1199409521992589315,0
262,357,@1RealMir Take $100 and day trade it real quick and make a quick $100+ while I give the other $100 out to less fortunate people $AAPL,2019-11-26 18:27:23.000000,Travis Howard,0,0.18833333333333327,1199409332527521794,0
